channel,followers,sub_vertical,icp,channel_url,needs
The Bearded I.T. Dad,73300,cybersecurity,org/skip,https://www.youtube.com/channel/UChJLXGlP37TEoqzU8Ae17bA,resolve website + enrich email
Avery Smith | Data Analyst,68200,data science,org/skip,https://www.youtube.com/channel/UCuyfszBAd3gUt9vAbC1dfqA,resolve website + enrich email
Tech Sales With Higher Levels,44000,tech sales,org/skip,https://www.youtube.com/channel/UC3M0vCYuGAEDy7SX1cWSqLw,resolve website + enrich email
AlgoMonster,40200,swe interview,org/skip,https://www.youtube.com/channel/UCCKAEO4_rqh1GTMxg9H6_sQ,resolve website + enrich email
"Jess Ramos | Data, AI, & Tech ⚡️",38900,data science,org/skip,https://www.youtube.com/channel/UCNXDU-8M1KFAWpFxmev8C-g,resolve website + enrich email
Sales Feed,33700,tech sales,org/skip,https://www.youtube.com/channel/UCR0OxYKALt3zfm5S0Ow0SkA,resolve website + enrich email
Product Alliance,29700,product management,org/skip,https://www.youtube.com/channel/UCACGk1l_5XEznD5Bcig-KqA,resolve website + enrich email
Designalily,28800,ux design,org/skip,https://www.youtube.com/channel/UC8pcywXxprZc4Tk8J5OzVQA,resolve website + enrich email
Glencoco,27400,tech sales,org/skip,https://www.youtube.com/channel/UCgAe66iu3nOIOHzm1-1mF6Q,resolve website + enrich email
Sell Better,25800,tech sales,org/skip,https://www.youtube.com/channel/UCOGBiBoHd5n3f9Sz2KZT3CA,resolve website + enrich email
Stuart Taylor - Project Management,20400,product management,org/skip,https://www.youtube.com/channel/UCCSZqgcsCtbokmz2xAniUKw,resolve website + enrich email
30 Minutes to President’s Club,19400,tech sales,org/skip,https://www.youtube.com/channel/UCku-dqryeYBuzh_0xVKPExw,resolve website + enrich email
IGotAnOffer: Product management,14700,product management,org/skip,https://www.youtube.com/channel/UCFJy5E_3XknWv42cvedoALw,resolve website + enrich email
CTRL+ALT+DEFEND,12100,cybersecurity,org/skip,https://www.youtube.com/channel/UCneqQNEyUhRrM-GQyGapHVA,resolve website + enrich email
Career Coaching with Ryan,7470,cybersecurity,org/skip,https://www.youtube.com/channel/UCkBmg5m9KO6-ZustV-_5gfQ,resolve website + enrich email
Camilo Careers,4380,job search,org/skip,https://www.youtube.com/channel/UCaKeTgoqr8CG4exRyw8g4Bw,resolve website + enrich email
