name,sub_vertical,channel_or_platform,audience_signal,course_cohort_evidence,parasite_target_king,king_channel,content_depth_note,tier,contact_path,confidence,needs
"Cass Thompson","Career advice","youtube.com/c/CassThompsonCareerAdvice","weekly-training cadence","Courses (cassthompson.com)","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Consistent publisher; ideal cadence-fit for engine","challenger","cassthompson.com / LinkedIn","High","verify email"
"Andrew LaCivita","Career / leadership / interview","Andrew LaCivita (YouTube)","317K subs","High-ticket programs (milewalkacademy)","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Sells premium programs = budget; flag borderline-king","borderline-king","milewalkacademy.com / LinkedIn","High","verify tier; email"
"Madeline Mann (Self Made Millennial)","Career / job search","Self Made Millennial (YouTube)","446K subs","Courses (selfmademillennial)","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Already a strong machine; flag borderline-king","borderline-king","selfmademillennial.tv / LinkedIn","High","verify tier; email"
"Ben Erez","Product management interview","Maven","solo cohort instructor","Maven cohort: PM Interview Bootcamp (maven.com/ben-erez/pm-interview)","Exponent","youtube.com/@tryexponent","King company w/ huge lib; Ben solo = no content team","challenger","maven.com/ben-erez / LinkedIn","High","verify email"
"Lucy Chen","PM / leadership career","lucyfchen.com","SF Bay tech career coach","1:1 + mock interview coaching (lucyfchen.com)","Exponent","youtube.com/@tryexponent","Light content presence = greenfield","challenger","lucyfchen.com / LinkedIn","Med","verify course tier; email"
"Assel Mussagaliyeva-Tang (EDUTech Future)","Break into tech (non-technical)","Maven","cohort lead, multi-instructor","Maven cohorts: Break into Tech (early + mid-career)","Mayuko","youtube.com/@hellomayuko (536K)","King = lifestyle/career; Assel = structured cohort, thin content","challenger","maven.com/edu-tech-future / LinkedIn","High","verify email"
"Annie Dean & Michi Hu-Pezeshki (Recast Success)","Tech jobs (no-code)","Maven","2-person cohort","Maven cohort: Tech Jobs That Don't Require Coding","Mayuko","youtube.com/@hellomayuko (536K)","Distinct ""no coding"" angle = clean content lane","challenger","maven.com/recast-success / LinkedIn","High","verify email"
"Coach Erika","Tech job search","Maven","cohort workshop lead","Maven cohort: Teeing up your Tech Job Search","Mayuko","youtube.com/@hellomayuko (536K)","10+ hr weekend intensive; minimal evergreen content","challenger","coacherika.co / maven.com/coach-erika","High","verify email"
"Maxine Simmons (Technical Recruiting Academy)","Break into technical recruiting","Maven","cohort lead","Maven cohort: Breaking Into Technical Recruiting","Mayuko","youtube.com/@hellomayuko (536K)","Niche w/ no clear YouTube king = first-mover content","challenger","maven.com/technical-recruiting-academy / LinkedIn","Med","verify email"
"Christian Garcia-Scheer (Careers Cafe)","Career acceleration","Maven","cohort lead","Maven cohort: Career Acceleration Intensive","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Broad career angle; thin content footprint","challenger","maven.com/careers-cafe / LinkedIn","Med","verify email"
"Laith Wallace","UX design career","Laith Wallace (YouTube)","product designer + coach","Career coaching / courses (verify)","CareerFoundry / AJ&Smart","(UX category kings)","Motivational/career UX angle; mid library","challenger","site / LinkedIn","Med","verify course + email"
"Lisa Murnan","UX career pivot","lisamurnan.com","UX career coach","UX career pivot coaching + job-search strategy (lisamurnan.com)","CareerFoundry / AJ&Smart","(UX category kings)","Light content = greenfield for engine","challenger","lisamurnan.com / LinkedIn","Med","verify email"
"Just Enough Design","UX career","Just Enough Design (YouTube)","mid-tier UX channel","Courses/coaching (verify)","CareerFoundry / AJ&Smart","(UX category kings)","Active publisher; confirm monetization","challenger","channel about page","Low-Med","verify course + email"
"Trent Dressel","Tech sales career","youtube.com/c/trentdressel","55K subs","CourseCareers Tech Sales course + Skool community + Calendly coaching","CourseCareers / Patrick Dang","(tech-sales category)","IDEAL profile: challenger + course + channel + reachable. Start here.","challenger","skool.com/@trent-dressel / Calendly / LinkedIn","High","verify email"
"CPF Coaching (Breaking into Cybersecurity)","Cybersecurity career","Podcast + YouTube","niche audience","Gumroad courses (cpfcoaching.gumroad.com)","Professor Messer","(cyber category king)","Gumroad seller, reachable; small but acute pain","challenger","cpfcoaching.gumroad.com / LinkedIn","Med","verify email"
